feature,mean_importance,std_importance,selected_count,used_by_model,selected_rate
bvp_hr_mean,0.18189904019560452,0.009163802536476917,15,True,1.0
bvp_ibi_mean,0.11897501801089393,0.007103475213619283,15,True,1.0
bvp_rmssd,0.09422356004300901,0.007250675835466277,15,True,1.0
bvp_hr_std,0.06600421239344255,0.0057575970100884,15,True,1.0
bvp_median,0.06420841949695487,0.006579923527059855,15,True,1.0
bvp_peak_count,0.05842718860786316,0.006432137576813636,15,True,1.0
bvp_ibi_std,0.05351580923072741,0.005373347969731891,15,True,1.0
bvp_sdnn,0.05059090778877892,0.007336333502484623,15,True,1.0
bvp_valid_ibi_count,0.040402304166425096,0.00360112683019305,15,True,1.0
bvp_peak_prominence_mean,0.030182536543831583,0.0033592701675314806,15,True,1.0
bvp_peak_prominence_std,0.025465305141463397,0.0024398453731686903,15,True,1.0
bvp_iqr,0.02455273686043621,0.002131944877261402,15,True,1.0
bvp_ibi_max,0.020984856783742664,0.0017406036782797395,15,True,1.0
bvp_hr_min,0.019750359640715254,0.0015200675907582584,12,True,0.8
bvp_skew,0.018041587086741098,0.0012871017226562024,8,True,0.5333333333333333
bvp_energy,0.017168424979653055,0.001491095686042231,5,False,0.3333333333333333
bvp_kurtosis,0.017188096837219217,0.0014733406541072144,2,False,0.13333333333333333
bvp_std,0.01630869292024905,0.001531880515032061,1,False,0.06666666666666667
bvp_rms,0.01624096215299071,0.001706615220546038,1,False,0.06666666666666667
bvp_min,0.015319884748437504,0.0011844948469415535,1,False,0.06666666666666667
bvp_max,0.014496303767211265,0.0011501229384729965,0,False,0.0
bvp_range,0.013790717525145954,0.00146727372264431,0,False,0.0
bvp_mean,0.01179206578805667,0.0008610533305409873,0,False,0.0
bvp_ibi_min,0.00532199971532657,0.0005280529724193137,0,False,0.0
bvp_hr_max,0.00514900957508033,0.0006163177727354264,0,False,0.0
