feature,mean_importance,std_importance
emg_relative_power_60_120,0.06470175607889228,0.004417146398329611
emg_median,0.056781295015323356,0.005629519730400774
emg_skew,0.04477940375332918,0.004696819409606166
emg_relative_power_20_60,0.04093912979388527,0.002039403269961671
emg_hjorth_complexity,0.0392126178074487,0.0029589111171480654
emg_slope_sign_change_count,0.03755377835988079,0.003776640031048232
emg_relative_power_120_250,0.037294560040280984,0.004182950392236967
emg_slope_sign_change_rate,0.03676984165275137,0.004330288823732537
emg_zero_crossing_rate,0.03445057402762194,0.00272811966385621
emg_zero_crossing_count,0.034231088204153375,0.0026771633038271893
emg_bandpower_20_60,0.03299621902139001,0.0037144165253085457
emg_median_frequency,0.032571375235747754,0.002487100357834877
emg_mean_frequency,0.02963202703374251,0.003986985287575675
emg_hjorth_mobility,0.028533393759947605,0.0037638332457768137
emg_bandpower_120_250,0.025375540869980468,0.003236774552278072
emg_derivative_std,0.023971578866419263,0.0021210378231202344
emg_derivative_max_abs,0.02258197527865839,0.001810206140200519
emg_average_amplitude_change,0.022572774798774273,0.001945525062646881
emg_waveform_length,0.02147127678060125,0.002008963140514297
emg_kurtosis,0.02023004190512929,0.001851979927185517
emg_bandpower_60_120,0.019660890893683284,0.0019188182506946184
emg_iqr,0.017491947065716475,0.0011573864913233943
emg_abs_std,0.017333892378834165,0.0009653505429020572
emg_max,0.017258900872942722,0.0017401495672947093
emg_abs_median,0.01704672723886158,0.0014607241058648306
emg_log_detector,0.016227284952195838,0.0013328482860310426
emg_mav,0.01541123501528457,0.0013960780067329753
emg_total_power,0.015383629565706628,0.0016643214977469548
emg_willison_amplitude_rate,0.015366129408601494,0.0012829584417204246
emg_willison_amplitude_count,0.015088575349601013,0.0011856970024334422
emg_iemg,0.015085905820789159,0.001166434186471317
emg_abs_mean,0.015044647289915931,0.0012769069768803014
emg_min,0.014432359514577222,0.0007500396947902347
emg_rms,0.01433206935918894,0.0014903642076071148
emg_energy,0.014264496395615122,0.0011698330260764332
emg_std,0.013413250454238374,0.001957470016360659
emg_hjorth_activity,0.013269067308193964,0.0010795335947111548
emg_range,0.013201979862195661,0.0009373187922498406
emg_variance,0.012912257167995501,0.0010564166623998697
emg_abs_max,0.012650685989499559,0.0006446742382668018
emg_mean,0.008470571302522191,0.0006555054911184689
emg_derivative_mean,3.2485098825723223e-06,9.17891830713884e-06
